,id,address,area,bedrooms,bikeScore,transitScore,walkScore,datetime,distanceToNearestIntersection,hasImage,hasMap,name,price,sideOfStreet,url,longitude,latitude,includesArea,advertisesNoFee,isRepost,postalCode,neighborhood
43,65486,234 Weirfield St,,2.0,86.0,98.0,92.0,2019-06-22 01:10:00+00:00,0.0795,True,True,Bright and spacious with lots of sunlight,2400,R,https://newyork.craigslist.org/brk/abo/d/ridgewood-bright-and-spacious-with-lots/6913154885.html,-73.9103,40.6919,False,False,False,11221,Sunset Park
44,65487,1065 Madison St,,3.0,84.0,96.0,90.0,2019-06-22 01:10:00+00:00,0.0782,True,True,All rooms are good sizes with closets,2700,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-all-rooms-are-good-sizes-with/6913152187.html,-73.9170,40.6911,False,False,False,11221,Sunset Park
45,65492,601 Lafayette Ave,,3.0,84.0,93.0,90.0,2019-06-22 01:09:00+00:00,0.8974,True,True,Sunny queen sized bedrooms with closets,2900,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-sunny-queen-sized-bedrooms/6915867672.html,-73.9453,40.6906,False,False,False,11221,Sunset Park
46,65503,83 Malcolm X Blvd,,2.0,72.0,92.0,95.0,2019-06-22 01:24:00+00:00,0.2853,True,True,"Beautiful 2BR, 2BA in BED-STUY - No Broker Fee!",2399,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-2br-2ba-in-bed-stuy/6917553896.html,-73.9306,40.6908,False,False,False,11221,Sunset Park
47,65507,34 Stanhope St,,3.0,85.0,99.0,96.0,2019-06-22 01:24:00+00:00,0.8685,True,True,Sick 3 Bed! No Fee!,3045,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-sick-3-bed-no-fee/6904470783.html,-73.9257,40.6953,False,True,False,11221,Sunset Park
48,65534,17 Stuyvesant Ave,,3.0,80.0,98.0,97.0,2019-06-22 02:12:00+00:00,0.0000,True,True,★3BED/1BA - Laundry/Microwave/Dishwasher/SS-Appliances/Rooftop,2999,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-3bed-1ba-laundry-microwave/6896301675.html,-73.9346,40.6956,False,False,False,11221,Sunset Park
49,65556,1065 Madison St,,3.0,84.0,96.0,90.0,2019-06-22 02:24:00+00:00,0.0782,True,True,Be the first people to live in this hip three bed room,2700,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-be-the-first-people-to-live-in/6911754888.html,-73.9170,40.6911,False,False,False,11221,Sunset Park
50,65557,1391 Dekalb Ave,,3.0,95.0,99.0,99.0,2019-06-22 02:24:00+00:00,0.0000,True,True,Gorgeous renovated 3 bedroom is nested in Prime Bushwick,2900,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-gorgeous-renovated-3-bedroom/6911753545.html,-73.9238,40.6996,False,False,False,11221,Sunset Park
51,65564,500 Throop Ave,,2.0,75.0,100.0,94.0,2019-06-22 02:24:00+00:00,0.0000,True,True,"Apt w/ short commute, big bedrooms,  design & no fee!!",2475,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-apt-short-commute-big-bedrooms/6915393385.html,-73.9416,40.6865,False,True,False,11221,Sunset Park
52,65571,641 Bushwick Ave,,2.0,83.0,97.0,98.0,2019-06-22 02:51:00+00:00,0.0000,True,True,❆2 bed/ 1ba - luxury building - ELEVATOR + Laundry/Rooftop and MORE!,2930,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-2-bed-1ba-luxury-building/6901338812.html,-73.9332,40.6979,False,False,False,11221,Sunset Park
53,65574,173 Lewis Ave,,6.0,73.0,95.0,92.0,2019-06-22 02:50:00+00:00,0.0000,True,True,"3 Bedrooms For Rent in Bed-Stuy House, One For IMMEDIATE MOVE-IN",900,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-3-bedrooms-for-rent-in-bed/6917550621.html,-73.9366,40.6908,False,False,False,11221,Sunset Park
54,65582,562 Evergreen Ave,,2.0,85.0,97.0,91.0,2019-06-22 02:42:00+00:00,0.0000,True,True,2 Bedroom in Bushwick Near J train,2400,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-2-bedroom-in-bushwick-near/6905161507.html,-73.9162,40.6907,False,False,False,11221,Sunset Park
55,65609,410 Pulaski St,,3.0,79.0,97.0,94.0,2019-06-22 03:26:00+00:00,0.0131,True,True,Queen sized bedrooms with terrific closet space and natural light,2800,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-queen-sized-bedrooms-with/6914149890.html,-73.9343,40.6941,False,False,False,11221,Sunset Park
56,65612,410 Pulaski St,,3.0,79.0,97.0,94.0,2019-06-22 03:26:00+00:00,0.0131,True,True,Beautiful 3 Bedroom 1.5 bath DUPLEX with stylish copper kitchen,2875,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-3-bedroom-15-bath/6914143772.html,-73.9343,40.6941,False,False,False,11221,Sunset Park
57,65613,723 Putnam Ave,,3.0,66.0,96.0,91.0,2019-06-22 03:26:00+00:00,0.0000,True,True,"Spacious 3 Bedroom apartment with hardwood floors, high ceilings",2700,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-spacious-3-bedroom-apartment/6914154031.html,-73.9327,40.6860,False,False,False,11221,Sunset Park
